Numero,Descripcion,Movs_Total,Movs_2024,Asientos_Total,Primer_Mov,Ultimo_Mov,Debe_2024,Haber_2024
42102013,BSAS IMPUESTOS INTERNOS,4,0,4,2018-05-09 17:46:47,2019-08-13 12:17:39,0.0,0.0
42102013,BSAS TASAS E IMPUESTOS INTERNOS,135,51,135,2019-01-31 17:50:37,2026-07-02 12:04:11,108655.29,99803.55
42102015,BSAS INGRESOS BRUTOS CABA,131,38,131,2018-04-10 12:51:27,2026-07-01 11:57:08,201982334.63,213700233.57
42102017,BSAS INGRESOS BRUTOS BUENOS AIRES,125,36,125,2018-04-10 12:51:27,2026-07-01 11:57:08,9767591.81,10324028.86
42102018,BSAS INGRESOS BRUTOS SALTA,124,30,124,2018-04-10 12:51:27,2026-07-01 11:57:08,168797048.31,182974585.68
42102019,BSAS LIBRERÍA E IMPRENTA,347,100,347,2017-10-13 14:21:18,2026-07-02 13:46:39,8313134.51,6718837.71
42102020,BSAS MOBILIDAD,23,0,22,2017-10-20 14:37:36,2018-10-26 12:17:16,0.0,0.0
42102020,BSAS MOVILIDAD,331,127,331,2018-03-05 16:30:01,2026-07-01 11:57:08,28462343.6,30545446.12
42102021,BSAS SEGUROS GENERALES,168,124,168,2018-03-12 16:53:47,2026-07-01 11:57:08,765458.21,614152.06
42102022,BSAS SISTEMAS E INFORMATICA,863,236,862,2017-10-12 13:31:16,2026-07-01 15:37:41,77689739.69,76251065.11
42102023,BSAS SUELDOS,129,35,129,2017-11-08 12:16:14,2026-07-01 11:57:08,311410525.39,328566457.31
42102024,BSAS TASAS E IMPUESTOS PROVINCIALES,293,114,293,2017-09-28 14:53:31,2026-07-02 12:15:44,5494467.23,4656069.84
42102025,BSAS SERVICIOS DE AYSA,124,41,124,2017-11-06 14:45:56,2026-07-01 11:57:08,3223350.73,2156562.1
42102026,BSAS SERVICIOS DE ELECTRICIDAD,110,14,110,2017-10-18 15:54:00,2025-05-26 10:18:18,3629513.31,4217001.34
42102027,BSAS SERVICIOS DE GAS,121,39,121,2018-07-11 13:39:49,2026-07-01 11:57:08,952149.68,832462.04
42102028,BSAS SERVICIOS DE TELEFONOS FIJOS,278,65,278,2017-10-26 10:35:06,2026-07-01 11:57:08,2134918.68,1769429.89
42102029,BSAS SERVICIOS DE TELEFONOS MOVIL,227,56,227,2017-10-12 10:35:22,2026-07-02 13:13:48,8578952.91,7269556.36
42102030,BSAS OTROS GASTOS PERSONAL,510,157,510,2018-02-05 16:40:55,2026-07-03 11:55:35,11965788.26,11422882.98
42102030,BSAS OTROS GASTOS PERSONALES,25,0,25,2017-10-23 15:57:02,2018-10-26 12:17:16,0.0,0.0
42102031,BSAS SERVICIO DE VIGILANCIA,150,43,150,2017-12-07 11:02:17,2026-07-06 12:19:27,4337339.35,3585854.95
42102032,BSAS GASTOS DE CERTIFICACIONES Y ESCRIBANIA,59,20,59,2017-11-14 16:55:41,2026-07-01 11:57:08,1278674.96,1284774.96
42102033,BSAS AMORTIZACIONES DE EQUIPOS DE COMPUTACION,23,6,22,2018-06-01 13:18:32,2025-05-26 10:18:18,4444611.29,4444611.29
42102035,BS AS RETENCIONES DE TARJETAS DE CREDITO,51,8,34,2021-12-13 14:17:21,2025-05-26 10:18:18,33967.49,33967.49
42102035,BSAS RETENCIONES DE TARJETAS DE CREDITO,14,0,14,2021-05-27 16:30:44,2021-09-29 12:04:44,0.0,0.0
42103001,BSAS ABL,90,29,90,2017-10-18 14:05:06,2026-07-01 11:57:08,6970781.93,5632060.42
42103002,BSAS CAPACITACION DEL PERSONAL,18,6,18,2018-06-15 10:05:05,2026-05-21 14:26:07,2051037.49,366766.49
42103003,BSAS CORREO / MENSAJERIA,376,130,376,2017-11-08 12:33:13,2026-07-01 11:57:08,4876856.23,4409198.7
42103005,BSAS GASTOS LEGALES,56,31,56,2018-06-08 17:56:40,2026-07-01 11:57:08,1866009.42,1865910.72
42103006,BSAS HONORARIOS,326,131,326,2017-10-31 12:52:36,2026-07-01 11:57:08,16947771.43,16786971.43
42103007,BSAS PUBLICIDAD,470,200,470,2017-10-24 10:41:07,2026-07-01 11:57:08,35231082.85,29096516.76
42103009,BSAS SERVICIOS DE ELECTRICIDAD,27,27,27,2024-12-16 15:10:09,2026-07-06 14:20:12,8079529.87,5409305.7
42103010,BSAS SERVICIOS DE GAS,3,0,3,2017-10-26 10:26:11,2018-10-26 12:17:16,0.0,0.0
42103011,BSAS SERVICIOS DE LIMPIEZA Y MANTENIMIENTO,7,2,7,2018-05-31 12:51:07,2024-05-08 17:07:09,4536.56,8789.45
42103015,BSAS GASTOS DE VIAJE Y MOVILIDAD,407,59,407,2017-11-01 09:10:13,2026-07-01 11:57:08,3868142.39,3868863.5
42104001,BSAS OTROS INGRESOS Y EGRESOS,2393,942,2391,2017-09-20 12:52:36,2026-07-01 15:21:56,10145365.64,10109493.63
42105001,BSAS DIFERENCIA DE CAMBIO,5734,2988,5732,2017-09-20 12:50:31,2026-07-03 14:45:31,502370402.69,489226586.35
42105002,BSAS INTERESES BANCARIOS,16,7,16,2018-05-31 13:02:05,2026-07-01 11:57:08,18296.53,18296.53
42105003,BSAS INTERESES IMPOSITIVOS,134,17,134,2017-11-03 10:43:16,2026-07-01 11:57:08,750884.76,602176.43
42105004,BSAS INTERESES FINANCIEROS,21,5,21,2018-01-03 16:34:43,2026-06-09 13:47:31,1087839.87,1087096.62
42106,RECPAM,28,12,28,2020-05-28 20:04:37,2026-07-01 11:57:08,1985450128.49,1985450128.49
42201001,PAT ALQUILERES Y EXPENSAS,178,42,178,2017-10-13 10:03:03,2026-07-01 11:57:08,6661561.78,5649540.0
42201003,PAT ARMOTIZACIONES INSTALACIONES,5,0,5,2018-06-01 13:18:32,2023-07-19 18:04:00,0.0,0.0
42201004,PAT ARMOTIZACIONES MAQUINARIAS,27,14,27,2018-06-01 13:18:32,2026-07-01 11:57:08,2104610.3,2104610.3
42201005,PAT ARMOTIZACIONES OBRAS EN CURSO,4,0,4,2018-06-01 13:18:32,2021-04-30 12:40:57,0.0,0.0
42201006,PAT ARMOTIZACIONES RODADOS,10,0,10,2018-06-01 13:18:32,2022-04-07 14:05:53,0.0,0.0
42201007,PAT ANALISIS DE LABORATORIO,53,19,53,2018-05-03 13:31:10,2026-07-01 11:57:08,3637704.92,3524419.62
42201008,PAT ASISTENCIA MEDICA,358,102,358,2017-10-13 09:25:04,2026-07-01 14:49:38,17879986.22,18544198.19
42201009,PAT CARGAS SOCIALES,153,38,153,2017-11-08 12:16:14,2026-07-01 11:57:08,447613633.0,480032175.02
42201010,PAT COMBUSTIBLE,882,221,882,2017-10-12 16:22:47,2026-07-06 10:22:48,424191243.22,359526589.9
42201011,PAT GASTOS DE VIAJE Y MOVILIDAD,161,48,161,2017-11-01 08:48:33,2026-07-03 11:14:39,11829558.56,11703196.02
42201016,PAT ELEMENTO DE SEGURIDAD,294,87,294,2017-10-30 15:48:30,2026-07-01 13:35:34,7968172.23,7071320.29
42201018,PAT ESTACIONAMIENTO,446,122,446,2017-10-26 10:23:43,2026-07-01 11:57:08,1431580.72,1098384.46
42201019,PAT GASTOS DE RODADOS,3579,1260,3579,2017-10-12 16:32:02,2026-07-06 12:42:47,263883164.37,204510750.82
42201020,PAT INDUMENTARIA,78,22,78,2018-02-09 09:55:38,2026-07-01 11:57:08,11698413.16,12884705.13
42201021,PAT MATERIALES Y HERRAMIENTAS,851,242,851,2017-10-13 12:18:31,2026-07-06 11:38:24,21056493.16,14269372.14
42201024,PAT PATENTES,690,224,690,2017-11-15 09:45:50,2026-07-02 12:06:10,27461402.47,21592412.55
42201025,PAT PEAJES Y MULTAS ,408,127,408,2017-10-13 17:32:01,2026-07-03 11:17:23,4532397.24,4091350.66
42201026,PAT SEGURO DE INMUEBLES,31,12,31,2018-06-18 14:15:17,2026-07-01 11:57:08,17321550.72,11520310.44
42201027,PAT SEGUROS DE RODADOS,150,31,150,2017-10-26 12:45:57,2026-07-01 15:59:54,83771247.24,71879682.12
42201028,PAT SERVICIOS DE TERCEROS CONTRATADOS,36,21,36,2019-05-30 15:04:47,2026-07-03 09:54:35,25926500.0,2336000.0
42201029,PAT SUELDOS,130,35,130,2017-11-08 12:16:14,2026-07-01 11:57:08,1758985952.33,1885518861.75
42201031,PAT  MANTENIMIENTO DE MAQUINARIAS,297,126,297,2017-11-23 14:26:08,2026-07-01 11:57:08,60387825.15,53731778.09
42201032,PAT GASTOS DE VIAJES,165,34,165,2018-04-03 14:58:11,2026-07-01 11:57:08,2994744.26,2731868.1
42201035,PAT MATERIAL DE EMBALAJE,36,6,35,2019-05-14 10:34:30,2025-05-26 10:18:18,31783446.73,56662225.48
42201036,PAT SERVICIO DE LIMPIEZA Y DE MANTENIMIENTO,386,135,386,2017-10-12 17:10:54,2026-07-03 11:48:25,95176318.43,83336918.46
42201037,PAT LIBRERÍA E IMPRENTA,109,37,109,2017-10-13 14:03:12,2026-07-01 11:57:08,6721607.19,6492713.99
42201038,PAT TRATAMIENTO Y DISPOSICION FINAL,123,38,123,2018-02-09 11:10:44,2026-07-01 11:57:08,78088716.13,68904591.08
42201040,PAT OTROS GASTOS PERSONAL,315,102,315,2017-11-06 16:58:07,2026-07-06 10:59:44,24199001.58,11263118.29
42201041,PAT BOLSAS,124,39,124,2018-02-20 15:18:29,2026-07-02 11:13:32,1467595149.49,1098803669.98
42201043,PAT PRECINTOS,45,18,45,2019-04-03 17:41:15,2026-07-01 13:57:10,26274942.61,22443476.81
42201043,PAT PRESCINTOS,9,0,8,2017-11-28 13:28:58,2019-08-13 12:17:39,0.0,0.0
42201046,PAT OTRAS MATERIAS PRIMAS(FILM-CINTA-ETIQUETA-EMBALAJE),15,14,15,2023-11-08 16:44:27,2026-07-01 11:57:08,81707996.75,82045094.75
42201050,PAT SEGUROS DE CAUCION,59,18,59,2017-12-18 16:08:20,2026-07-01 11:57:08,8882052.77,8533927.3
42201051,PAT LEASING,46,0,46,2017-10-26 12:45:57,2021-04-30 12:40:57,0.0,0.0
42201052,PAT OTROS GASTOS DE CURSO,15,15,15,2025-11-14 12:18:23,2026-07-01 11:57:08,120329.67,80168.55
42201056,PAT MANTENIMIENTO,68,37,68,2018-05-16 09:52:20,2026-07-01 11:57:08,2173520.44,1746520.44
42201058,PAT DESTRUCCION MEDICAMENTOS VENCIDOS,45,25,45,2018-02-06 09:13:25,2026-07-01 11:57:08,27115922.01,27228242.01
42201062,"PAT ART VARIOS DE TELEFONIA Y COMPUTACIÓN
",47,43,47,2022-08-02 16:42:43,2026-07-01 11:57:08,5083409.72,3526897.76
4220120,PAT INDEMNIZACIONES JUDICIALES,14,14,14,2024-06-05 14:28:31,2026-06-30 14:53:48,29876991.9,19876991.9
42202003,PAT AMORTIZACIONES RODADOS,21,14,21,2019-06-18 08:33:22,2026-07-01 11:57:08,276351802.0,276351802.0
42202004,PAT ASISTENCIA MEDICA,48,20,48,2018-05-07 15:14:58,2026-07-01 11:57:08,1168788.04,869099.59
42202006,PAT GASTOS BANCARIOS,160,47,160,2017-11-22 17:24:21,2026-07-01 11:57:08,1614434.43,1682054.51
42202007,PAT GASTOS ADMINISTRATIVOS PLAN AHORRO VEHICULOS,14,14,14,2025-02-06 09:47:07,2026-07-01 11:57:08,3596468.19,3596468.19
42202007,PAT GASTOS ADMINISTRATIVOS PLAN DE AHORRO VEHICULOS,10,10,10,2025-01-24 17:16:02,2025-05-26 10:18:18,2440496.73,2440496.73
42202007,PAT GASTOS TARJETA DE CREDITO,20,18,20,2020-03-11 13:28:24,2026-06-11 16:17:12,3376346.42,1715466.5
42202008,PAT FLETE INTERNO,216,69,216,2017-10-11 16:56:50,2026-07-01 11:57:08,5302149.64,4314023.01
42202009,PAT GASTOS DE LIMPIEZA,234,77,234,2017-10-12 16:52:52,2026-07-01 11:57:08,11164888.6,10920431.33
42202011,PAT HONORARIOS Y SERVICIOS DE GESTIONES,571,219,571,2017-10-19 10:29:48,2026-07-03 13:05:58,315052817.32,259092993.46
42202012,PAT IMPUESTOS A LOS DEBITOS Y CREDITOS,23,21,23,2018-06-10 18:16:51,2026-07-01 11:57:08,28129750.08,9350817.1
42202013,PAT IMPUESTOS INTERNOS,42,0,42,2017-10-20 15:30:00,2019-08-13 12:17:39,0.0,0.0
42202013,PAT TASAS E IMPUESTOS INTERNOS,181,78,181,2019-01-31 16:05:15,2026-07-01 11:57:08,48211612.22,48438889.72
42202018,PAT INGRESOS BRUTOS SALTA,16,16,15,2024-04-04 18:23:27,2026-07-01 11:57:08,164062822.76,164062822.76
42202019,PAT LIBRERÍA E IMPRENTA,161,52,161,2017-12-11 11:10:13,2026-07-01 11:57:08,1756212.99,1048585.19
42202020,PAT MOVILIDAD,31,16,31,2018-04-24 17:37:38,2026-07-01 11:57:08,31672262.53,460819.46
42202022,PAT SISTEMAS E INFORMATICA,459,129,459,2017-10-13 14:10:38,2026-07-01 14:54:57,18359162.61,13349068.4
42202023,PAT SUELDOS,2,2,2,2024-08-28 15:15:31,2024-11-21 13:13:11,3225000.0,3225000.0
42202024,PAT TASAS E IMPUESTOS PROVINCIALES,419,152,419,2017-10-12 15:43:36,2026-07-01 11:57:08,120606332.6,89669914.37
42202025,PAT TASAS Y SELLOS VERTEDERO,67,67,67,2026-03-09 12:00:17,2026-07-01 15:55:58,3949113.0,0.0
42202027,PAT SERVICIOS DE GAS,144,38,132,2017-11-28 10:59:05,2026-07-01 11:57:08,20293583.14,14938732.76
42202028,PAT SERVICIOS DE TELEFONOS FIJOS,150,44,150,2017-10-13 17:49:02,2026-07-01 11:57:08,160344.54,135155.9
42202029,PAT SERVICIOS DE TELEFONOS MOVIL,6,0,6,2019-02-01 15:26:25,2021-09-29 12:04:44,0.0,0.0
42202030,PAT OTROS GASTOS PERSONAL,173,56,173,2018-02-26 10:12:59,2026-07-01 11:57:08,4022415.3,3195545.86
42202030,PAT OTROS GASTOS PERSONALES,9,0,9,2017-10-12 13:36:12,2018-10-26 12:17:16,0.0,0.0
42202031,PAT SERVICIO DE VIGILANCIA,282,78,282,2017-10-12 11:13:02,2026-07-01 14:51:29,186399847.69,153437845.37
42202032,PAT GASTOS DE CERTIFICACIONES Y ESCRIBANIA,85,35,85,2017-11-23 14:36:00,2026-07-01 11:57:08,4158258.16,3189118.16
42202033,PAT AMORTIZACIONES DE EQUIPOS DE COMPUTACION,2,0,2,2019-06-18 08:33:22,2019-08-13 12:17:39,0.0,0.0
42203002,PAT CAPACITACION DEL PERSONAL,12,1,12,2019-11-04 13:57:17,2026-03-25 11:30:20,100000.0,0.0
42203003,PAT CORREO / MENSAJERIA,265,85,265,2018-04-04 09:54:31,2026-07-01 11:57:08,2502850.77,1950921.77
42203005,PAT GASTOS LEGALES,7,1,7,2018-04-17 16:44:52,2026-01-26 17:13:43,3000000.0,0.0
42203007,PAT PUBLICIDAD,100,55,100,2022-08-09 14:47:32,2026-07-01 11:57:08,2227762.62,2034636.08
42203009,PAT SERVICIOS DE ELECTRICIDAD,152,42,152,2017-10-12 16:00:33,2026-07-01 11:57:08,16599441.51,14019523.71
42203013,PAT SERVICIOS DE TELEFONOS MOVIL,136,41,136,2017-12-14 14:42:12,2026-07-02 13:13:48,11502389.9,10210581.13
42203014,PAT SUSCRIPCIONES,5,5,5,2024-07-17 15:04:35,2025-05-26 10:18:18,13858.06,13858.06
42203015,PAT GASTOS DE VIAJE Y MOVILIDAD,4,4,4,2025-12-29 10:49:08,2026-07-01 11:57:08,104500.0,31500.0
42205001,PAT DIFERENCIA DE CAMBIO,7,0,7,2019-03-22 11:37:10,2022-04-07 14:05:53,0.0,0.0
42205002,PAT INTERESES BANCARIOS,3,0,3,2019-07-17 11:24:52,2021-04-30 12:40:57,0.0,0.0
42205003,PAT INTERESES IMPOSITIVOS,327,80,312,2017-11-03 10:41:38,2026-07-03 09:30:27,50054672.03,20492634.34
42205004,PAT INTERESES FINANCIEROS,24,6,24,2017-12-20 12:26:28,2025-05-26 10:18:18,3202963.39,3202963.39
42301001,BIO ALQUILERES Y EXPENSAS,16,0,16,2017-10-13 09:59:45,2019-08-13 12:17:39,0.0,0.0
42301007,BIO ANALISIS DE LABORATORIO,5,0,5,2018-06-05 09:19:47,2019-08-13 12:17:39,0.0,0.0
42301008,BIO ASISTENCIA MEDICA,18,0,18,2017-10-13 09:21:27,2019-08-13 12:17:39,0.0,0.0
42301011,BIO GASTOS DE VIAJE Y MOVILIDAD,12,0,12,2017-12-21 09:31:55,2019-08-13 12:17:39,0.0,0.0
42301016,BIO ELEMENTO DE SEGURIDAD,22,3,22,2017-10-18 10:57:39,2025-05-26 10:18:18,4243.8,4243.8
42301020,BIO INDUMENTARIA,8,0,8,2017-10-18 10:57:39,2019-08-13 12:17:39,0.0,0.0
42301021,BIO MATERIALES Y HERRAMIENTAS,86,9,86,2017-10-12 17:28:56,2026-07-01 11:57:08,554982.84,548647.43
42301028,BIO SERVICIOS DE TERCEROS CONTRATADOS,3,0,3,2018-06-29 09:49:41,2019-08-13 12:17:39,0.0,0.0
42301031,BIO MANTENIMIENTO DE MAQUINARIAS,25,0,24,2018-02-21 09:41:57,2019-08-13 12:17:39,0.0,0.0
42301036,BIO SERVICIO DE LIMPIEZA Y DE MANTENIMIENTO,17,0,17,2017-11-10 10:45:07,2022-04-07 14:05:53,0.0,0.0
42301037,BIO LIBRERÍA E IMPRENTA,2,0,2,2017-10-18 13:21:27,2018-10-26 12:17:16,0.0,0.0
42301040,BIO OTROS GASTOS PERSONAL,4,0,4,2018-05-07 11:42:15,2019-08-13 12:17:39,0.0,0.0
42301050,BIO SEGUROS DE CAUCION,8,0,8,2018-05-31 13:08:22,2021-04-30 12:40:57,0.0,0.0
42301056,BIO MANTENIMIENTO,7,0,7,2018-03-13 13:09:12,2019-08-13 12:17:39,0.0,0.0
42302006,BIO GASTOS BANCARIOS,31,0,31,2017-10-11 16:23:24,2021-04-30 12:40:57,0.0,0.0
42302008,BIO FLETE INTERNO,4,0,4,2018-06-21 09:15:12,2019-08-13 12:17:39,0.0,0.0
42302009,BIO GASTOS DE LIMPIEZA,3,0,3,2018-06-05 10:24:40,2019-08-13 12:17:39,0.0,0.0
42302011,BIO HONORARIOS Y SERVICIOS DE GESTIONES,21,0,21,2017-11-09 16:03:23,2021-04-30 12:40:57,0.0,0.0
42302013,BIO IMPUESTOS INTERNOS,18,2,18,2017-10-31 17:18:36,2024-05-08 17:07:09,17119.62,28107.12
42302019,BIO LIBRERÍA E IMPRENTA,2,0,2,2017-12-12 16:06:47,2018-10-26 12:17:16,0.0,0.0
42302024,BIO TASAS E IMPUESTOS PROVINCIALES,2,0,2,2017-12-28 09:22:06,2018-10-26 12:17:16,0.0,0.0
42302030,BIO OTROS GASTOS PERSONAL ,10,0,10,2017-11-30 11:02:20,2019-08-13 12:17:39,0.0,0.0
42302031,BIO SERVICIO DE VIGILANCIA,17,0,17,2017-10-12 11:33:12,2019-08-13 12:17:39,0.0,0.0
42302032,BIO GASTOS DE CERTIFICACIONES Y ESCRIBANIA,3,0,3,2018-05-21 12:34:18,2019-08-13 12:17:39,0.0,0.0
42303003,BIO CORREO / MENSAJERIA,3,0,3,2018-08-27 16:27:32,2019-08-13 12:17:39,0.0,0.0
42303005,BIO GASTOS LEGALES,20,0,20,2017-10-19 15:44:22,2021-04-30 12:40:57,0.0,0.0
42303009,BIO SERVICIOS DE ELECTRICIDAD,21,0,21,2017-10-12 16:09:01,2019-08-13 12:17:39,0.0,0.0
42303015,BIO GASTOS DE VIAJE Y MOVILIDAD,7,0,7,2017-12-21 09:31:55,2019-08-13 12:17:39,0.0,0.0
42305001,BIO DIFERENCIA DE CAMBIO,5,2,5,2018-06-01 16:12:40,2026-07-01 11:57:08,0.01,0.01
42305004,BIO INTERESES FINANCIEROS,69,0,69,2017-10-12 08:33:04,2021-04-30 12:40:57,0.0,0.0
42305005,BIO GASTOS POR PRESTAMOS,8,0,8,2018-05-31 13:10:35,2019-08-13 12:17:39,0.0,0.0
431,IMPUESTOS A LAS GANANCIAS,25,10,25,2018-10-26 12:05:02,2026-07-01 11:57:08,1225082340.98,1225082340.98
432,IMPUESTO ESPECIAL REVALUO IMPOSITIVO,3,0,3,2020-05-28 14:48:27,2021-04-30 12:40:57,0.0,0.0
