Numero,Descripcion,TipoOrigen,Cant_Asientos,Total_Importe1
11101001,CAJA PESOS,0,5,35456862.1
11101001,CAJA PESOS,1,37,17792367.29
11101001,CAJA PESOS,2,216,275446219.44
11101001,CAJA PESOS,4,26,1703150.11
11101002,CAJA DOLARES,0,6,115941221.24
11101002,CAJA DOLARES,1,2,690300.0
11101002,CAJA DOLARES,2,26,488507236.53
11101002,CAJA DOLARES,4,2,2806080.0
11101003,FONDOS FIJOS ADMINISTRACION,0,3,462343.71
11101004,FONDOS FIJO SALTA,0,2,1959931.21
11101004,FONDOS FIJO SALTA,1,57,12487950.45
11101004,FONDOS FIJO SALTA,2,284,98254381.06
11101004,FONDOS FIJO SALTA,4,19,782557.76
11101004,FONDOS FIJO SALTA,11,2,196041497.91
11101008,CAJA DA,2,1,3500.0
11102001,BANCO CREDICOOP 40137/3,0,5,373544698.46
11102001,BANCO CREDICOOP 40137/3,1,4071,3379030821.04
11102001,BANCO CREDICOOP 40137/3,2,513,2128359327.83
11102001,BANCO CREDICOOP 40137/3,4,95,125685957.47
11102002,CH DIFERIDOS BANCO CREDICOOP 40137/3,0,3,38491364.26
11102002,CH DIFERIDOS BANCO CREDICOOP 40137/3,11,3,404085931.64
11102003,BANCO CREDICOOP 1945/5,0,3,129864.82
11102003,BANCO CREDICOOP 1945/5,1,1,353095.9
11102003,BANCO CREDICOOP 1945/5,2,9,961000.0
11102003,BANCO CREDICOOP 1945/5,4,4,152946.2
11102005,BANCO MACRO CTA CTE,1,98,58705865.74
11102005,BANCO MACRO CTA CTE,2,14,1836707363.44
11102005,BANCO MACRO CTA CTE,4,1,477540.56
11102007,BANCO MACRO CTA CTE USD,4,1,1770738.86
11102009,BANCO NACION,0,3,439118.58
11102009,BANCO NACION,1,22,893015.47
11102009,BANCO NACION,2,3,230027.5
11102009,BANCO NACION,4,1,59912.57
11102011,VALORES A DEPOSITAR,0,4,12903285.96
11102011,VALORES A DEPOSITAR,1,520,2622024228.42
11102011,VALORES A DEPOSITAR,2,18,481387152.5
11102011,VALORES A DEPOSITAR,4,2,17307548.27
11102013,BANCO VISA PATAGONIA,2,31,13692654.94
11102013,BANCO VISA,2,2,4912.78
11102013,BANCO VISA PATAGONIA,4,15,2906926.6
11102013,BANCO VISA,4,1,590279.36
11102013,BANCO VISA,11,1,92897.88
11102013,BANCO VISA PATAGONIA,11,2,1747806.21
11102016,BANCO PATAGONIA SALTA,0,3,62930432.27
11102016,BANCO PATAGONIA SALTA,1,877,10412133653.83
11102016,BANCO PATAGONIA SALTA,2,167,2127980401.88
11102016,BANCO PATAGONIA SALTA,4,17,54649015.21
11102020,BANCO AMEX GR,0,2,18456.9
11102020,BANCO AMEX GR,2,19,3284277.09
11102020,BANCO AMEX GR,4,2,18456.9
11102021,BANCO AMEX DA,2,10,328467.21
11102023,BANCO AMEX GC,0,2,1910792.5
11102023,BANCO AMEX GC,2,29,8580089.66
11102023,BANCO AMEX GC,4,8,600872.99
11102027,BANCO BBVA FRANCES,0,1,7544009.77
11102027,BANCO FRANCES,0,2,5200638.53
11102027,BANCO FRANCES,1,286,164610638.63
11102027,BANCO BBVA FRANCES,1,613,499747716.529999
11102027,BANCO BBVA FRANCES,2,39,510595709.55
11102027,BANCO FRANCES,2,21,73302945.28
11102027,BANCO FRANCES,4,8,375731.74
11102027,BANCO BBVA FRANCES,4,10,4332529.94
11102028,MERCADOPAGO,0,2,1494901.17
11102028,MERCADOPAGO,1,34,11930242.0
11102028,MERCADOPAGO,2,21,2050106.32
11102028,MERCADOPAGO,4,22,1900698.25
11102029,BANCO BBVA CTA USD,0,6,53604994.7
11102029,BANCO BBVA CTA USD,1,5,2766155.78
11102029,BANCO BBVA CTA USD,2,67,1381576924.22
11102029,BANCO BBVA CTA USD,4,8,35555271.48
11102030,BANCO VISA BBVA,2,79,102386316.65
11102030,BANCO VISA BBVA,4,49,11087439.84
11102030,BANCO VISA BBVA,11,2,10659388.06
11102031,BANCO VISA MACRO,2,1,1443542.31
11201001,PLAZO FIJO,2,2,10000000.0
11201002,INTERESES A DEVENGAR PLAZO FIJO,0,1,1631038.36
11201002,INTERESES A DEVENGAR PLAZO FIJO Y PROMOCIONES,0,2,20105.14
11201003,ACCIONES GARANTIZAR,0,3,6000.0
11201005,FONDOS COMUN DE INVERSION,0,4,95178354.84
11201005,FONDOS COMUN DE INVERSION,1,1,1460730.15
11201005,FONDOS COMUN DE INVERSION,2,24,877422724.9
11201005,FONDOS COMUN DE INVERSION,4,1,83794.68
11201006,BALANZ,0,4,76676685.99
11201006,BALANZ,2,54,2766480337.2
11201006,BALANZ,4,1,14474106.45
1120104,DGN,0,3,675000.0
11301001,DEUDORES POR SERVICIOS PESOS,0,5,1656442076.87
11301001,DEUDORES POR SERVICIOS PESOS,1,258,2809976065.86
11301001,DEUDORES POR SERVICIOS PESOS,2,1,4709.18
11301001,DEUDORES POR SERVICIOS PESOS,7,10096,19629916105.0901
11301001,DEUDORES POR SERVICIOS PESOS,12,94,2515016.63
11301002,DEUDORES POR SERVICIOS DOLARES,0,6,425754535.23
11301003,PROVISION FACTURAS A EMITIR,0,5,1901695148.58
11401001,IVA CREDITO FISCAL,0,5,154937851.15
11401001,IVA CREDITO FISCAL,8,5819,902760605.67
11401002,IVA RETENCION,0,3,670884.96
11401002,IVA RETENCION,1,995,247617341.91
11401003,IVA PERCEPCION,0,4,2375899.85
11401003,IVA PERCEPCION,2,1,1560.0
11401003,IVA PERCEPCION,8,879,22627484.17
11401004,IVA SALDO A FAVOR,0,1,533472.13
11402001,GANANCIAS RETENCION,0,6,53421664.84
11402001,GANANCIAS RETENCION,1,2478,264282410.029999
11402001,GANANCIAS RETENCION,2,1,14757.53
11402002,GANANCIAS ANTICIPO,0,1,8415891.87
11402002,GANANCIAS ANTICIPO,2,11,209536318.58
11402003,GANANCIAS SALDO A FAVOR,0,4,23025603.16
11402005,PERCEPCION GANANCIAS,0,5,21051066.81
11402005,PERCEPCION GANANCIAS,8,54,17020777.34
11402006,PERCEPCION GANANCIAS COMPRAS EXTERIOR,0,1,1370.18
11403001,IIBB RETENCIONES CABA,0,5,922261.43
11403001,IIBB RETENCIONES CABA,1,1381,73842179.87
11403002,IIBB RETENCIONES PCIA BS AS,0,2,687090.6
11403002,IIBB RETENCIONES PCIA BS AS,1,1509,11903963.2
11403003,IIBB RETENCIONES SALTA,0,3,31734.48
11403003,IIBB RETENCIONES SALTA,1,658,205264317.91
11403004,IIBB PERCEPCION CABA,0,6,618198.85
11403004,IIBB PERCEPCION CABA,2,1,5262.5
11403004,IIBB PERCEPCION CABA,8,1870,26085527.73
11403005,IIBB PERCEPCION PCIA DE BS AS,8,5,224599.31
11403006,IIBB PERCEPCION PCIA DE SALTA,0,1,146212.5
11403006,IIBB PERCEPCION PCIA DE SALTA,8,314,7664310.35
11403007,IIBB RETENCIONES BANCARIAS,0,2,3601.8
11403007,IIBB RETENCIONES BANCARIAS,8,126,188371279.2
11403008,IIBB SALDO A FAVOR,0,17,38503250.71
11403011,TISSH RETENCIONES MUNIC DE SALTA,0,2,644780.56
11403011,TISSH RETENCIONES MUNIC DE SALTA,1,50,20905955.51
11403011,TISSH RETENCIONES MUNIC DE SALTA,8,1,2629.93
11403012,IIBB RETENCIONES SIRTAC,1,2,25263.02
11404001,CARGA SOCIALES RETENCION,0,4,1596917.67
11404001,CARGA SOCIALES RETENCION,1,1103,121820462.17
11404002,BIENES PERSONALES,0,3,14646675.66
11404002,BIENES PERSONALES,2,1,5515657.52
11404003,IMPUESTOS A LOS DEBITOS Y CREDITOS PAGO A CUENTA,0,3,17152113.99
11404003,IMPUESTOS A LOS DEBITOS Y CREDITOS PAGO A CUENTA,8,222,81295046.3
11405001,GARANTIA ALQUILER CABA,0,3,1215000.0
11405001,GARANTIA ALQUILER CABA,2,1,4095000.0
11405006,SOCIO AGUIRRE CUENTA PARTICULAR,0,3,5376546.39
11405007,SOCIO BOFFELLI CUENTA PARTICULAR,0,3,4692457.56
11405010,SOCIOS CTA PARTICULAR,0,2,104296000.0
11405010,SOCIOS CTA PARTICULAR,2,18,81256000.0
11405011,DGN ,0,1,250000.0
11405011,DGN ,8,1,250000.0
11405012,SOCIO EDUARDO ELIAS JOSE,2,53,249176765.0
11405013,SOCIO PEDRO GABRIEL ISSA COSTA,2,51,776065700.0
11501001,BOLSAS,0,6,336003170.03
11501006,OTRAS MATERIAS PRIMAS(FILM-CINTA-ETIQUETA-EMBALAJE),0,7,153615197.37
11501007,CAJAS,2,1,0.3
11501008,MATERIAL DE EMBALAJE,0,6,24199849.29
11504001,CAJAS DE CARTON,0,5,17440564.2
11504003,VEHICULOS,8,6,58884703.38
11504003,VEHICULOS Y OTROS,8,1,4941417.85
11504005,BIDONES Y TAMBORES,0,6,13086042.78
12101001,VALOR ORIGEN MUEBLES Y UTILES BS AS,0,7,43669320.0
12101002,AMORTIZACIONES ACUMULADAS MUEBLES Y UTILES BS AS,0,2,3890324.88
12101002,AMORTIZACIONES ACUMULADAS MUEBLES Y UTILES BS AS,11,3,37207677.34
12101003,VALOR ORIGEN MUEBLES Y UTILES SALTA,0,7,24376517.35
12101003,VALOR ORIGEN MUEBLES Y UTILES SALTA,8,1,25967209.0
12101004,AMORTIZACIONES ACUMULADAS MUEBLES Y UTILES SALTA,0,1,2227859.99
12101004,AMORTIZACIONES ACUMULADAS MUEBLES Y UTILES SALTA,11,3,22148658.26
12102001,VALOR ORIGEN RODADO BS AS,0,7,931657777.19
12102001,VALOR ORIGEN RODADO BS AS,8,1,16777997.96
12102002,AMORTIZACIONES ACUMULADAS RODADOS BS AS,0,2,79803577.93
12102002,AMORTIZACIONES ACUMULADAS RODADOS BS AS,11,3,666806913.66
12102003,VALOR ORIGEN RODADO SALTA,0,7,1642896007.57
12102003,VALOR ORIGEN RODADO SALTA,8,14,554845489.14
12102004,AMORTIZACIONES ACUMULADAS RODADOS SALTA,0,2,147089626.81
12102004,AMORTIZACIONES ACUMULADAS RODADOS SALTA,11,3,1113803201.33
12103001,VALOR ORIGEN MAQUINARIAS BS AS,0,7,16612956.65
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,0,1,1518319.47
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,11,3,15094636.92
12103003,VALOR ORIGEN MAQUINARIAS SALTA,0,7,474797221.22
12103003,VALOR ORIGEN MAQUINARIAS SALTA,8,12,569600295.61
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,0,2,43389581.62
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,11,3,430103301.57
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,0,5,848913383.26
12104001,VALOR ORIGEN INSTALACIONES SALTA,0,7,20518398.09
12104001,VALOR ORIGEN INSTALACIONES SALTA,8,1,826490.01
12104002,AMORTIZACIONES ACUMULADAS INSTALACIONES BS AS,0,2,1000888.86
12104002,AMORTIZACIONES ACUMULADAS INSTALACIONES BS AS,11,3,19759071.21
12104003,VALOR ORIGEN INSTALACIONES BS AS,0,7,10240274.57
12104004,AMORTIZACIONES ACUMULADAS INSTALACIONES SALTA,0,1,1875252.22
12104004,AMORTIZACIONES ACUMULADAS INSTALACIONES SALTA,11,3,18643145.87
12104005,VALOR ORIGEN INSTALACIONES BIO,0,5,777128826.64
12105003,LOTE DE TERRENOS,0,7,171864302.14
12105004,OBRAS EN CURSO,0,7,270547262.18
12105004,OBRAS EN CURSO PATOGENICOS,8,23,352172333.14
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,0,1,24726313.98
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,11,3,245820948.2
12105006,OBRAS S/INMUEBLES DE TERCEROS,0,7,4973001.05
12105007,AMORTIZACIONES ACUMULADAS OBRA S/INMUEBLES DE TERCEROS,0,1,454500.94
12105007,AMORTIZACIONES ACUMULADAS OBRA S/INMUEBLES DE TERCEROS,11,3,4518500.11
12105008,OBRAS EN CURSO BIO SALTA,0,5,1509489993.85
12107001,VALOR ORIGEN EQUIPOS DE COMPUTACION,0,7,103988626.57
12107001,VALOR ORIGEN EQUIPOS DE COMPUTACION,8,2,57322.31
12107002,AMORTIZACIONES ACUMULADAS EQUIPOS DE COMPUTACION,0,2,9503904.84
12107002,AMORTIZACIONES ACUMULADAS EQUIPOS DE COMPUTACION,11,3,93407583.18
12107003,VALOR ORIGEN PROGRAMAS Y SOFTWARES,0,7,18976011.54
12107004,AMORTIZACIONES ACUMULADAS PROGRAMAS Y SOFTWARES,0,1,1734287.81
12107004,AMORTIZACIONES ACUMULADAS PROGRAMAS Y SOFTWARES,11,3,17241723.73
