MesContable,MesCreacion,Numero,Cuenta,TipoSaldo,TipoOrigen,Cant,Total_Importe1
b'2023-12',b'2024-01',42101009,BSAS CARGAS SOCIALES,0,0,1,3957179.77
b'2024-01',b'2024-02',42101009,BSAS CARGAS SOCIALES,0,0,1,3893184.45
b'2024-02',b'2024-03',42101009,BSAS CARGAS SOCIALES,0,0,1,4110217.85
b'2024-03',b'2024-04',42101009,BSAS CARGAS SOCIALES,0,0,1,6279252.79
b'2023-12',b'2024-05',42101009,BSAS CARGAS SOCIALES,0,0,1,18460665.29
b'2023-12',b'2024-05',42101009,BSAS CARGAS SOCIALES,1,10,1,42506503.53
b'2024-04',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,5236649.51
b'2024-05',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,5888642.73
b'2024-06',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,9778346.17
b'2024-07',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,7465273.23
b'2024-09',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,7090174.82
b'2024-08',b'2024-10',42101009,BSAS CARGAS SOCIALES,0,0,1,8089104.3
b'2024-10',b'2025-03',42101009,BSAS CARGAS SOCIALES,0,0,1,7930157.6
b'2024-11',b'2025-03',42101009,BSAS CARGAS SOCIALES,0,0,1,10368269.42
b'2024-12',b'2025-03',42101009,BSAS CARGAS SOCIALES,0,0,1,12117679.72
b'2024-12',b'2025-04',42101009,BSAS CARGAS SOCIALES,0,0,1,17071334.83
b'2025-04',b'2025-04',42101009,BSAS CARGAS SOCIALES,0,2,1,97407.75
b'2024-12',b'2025-05',42101009,BSAS CARGAS SOCIALES,1,10,1,105318287.42
b'2025-01',b'2025-06',42101009,BSAS CARGAS SOCIALES,0,0,1,8067993.66
b'2025-02',b'2025-06',42101009,BSAS CARGAS SOCIALES,0,0,1,7745265.19
b'2025-03',b'2025-06',42101009,BSAS CARGAS SOCIALES,0,0,1,7928957.94
b'2025-04',b'2025-06',42101009,BSAS CARGAS SOCIALES,0,0,1,10116157.5
b'2025-06',b'2025-07',42101009,BSAS CARGAS SOCIALES,0,0,1,27292765.83
b'2025-05',b'2025-07',42101009,BSAS CARGAS SOCIALES,0,0,1,12693514.15
b'2025-06',b'2025-07',42101009,BSAS CARGAS SOCIALES,1,0,1,19701.98
b'2025-07',b'2025-09',42101009,BSAS CARGAS SOCIALES,0,0,1,11449872.27
b'2025-08',b'2025-09',42101009,BSAS CARGAS SOCIALES,0,0,1,11884681.73
b'2025-11',b'2026-01',42101009,BSAS CARGAS SOCIALES,0,0,2,22126565.36
b'2025-08',b'2026-01',42101009,BSAS CARGAS SOCIALES,0,0,1,10691359.21
b'2025-09',b'2026-01',42101009,BSAS CARGAS SOCIALES,0,0,1,11577991.95
b'2025-10',b'2026-01',42101009,BSAS CARGAS SOCIALES,0,0,1,12643342.42
b'2025-09',b'2026-01',42101009,BSAS CARGAS SOCIALES,1,0,1,11884681.73
b'2025-12',b'2026-05',42101009,BSAS CARGAS SOCIALES,0,0,2,38397958.18
b'2025-12',b'2026-05',42101009,BSAS CARGAS SOCIALES,1,0,1,14249476.71
b'2025-12',b'2026-07',42101009,BSAS CARGAS SOCIALES,1,10,1,166559972.72
b'2023-12',b'2024-01',42101029,BSAS SUELDOS,0,0,1,15513296.03
b'2024-01',b'2024-02',42101029,BSAS SUELDOS,0,0,1,17672113.72
b'2024-02',b'2024-03',42101029,BSAS SUELDOS,0,0,1,17260951.39
b'2024-03',b'2024-04',42101029,BSAS SUELDOS,0,0,1,36250977.85
b'2023-12',b'2024-05',42101029,BSAS SUELDOS,0,0,1,75661359.74
b'2023-12',b'2024-05',42101029,BSAS SUELDOS,1,10,1,173693941.32
b'2024-04',b'2024-10',42101029,BSAS SUELDOS,0,0,1,22547408.34
b'2024-05',b'2024-10',42101029,BSAS SUELDOS,0,0,1,24807071.61
b'2024-06',b'2024-10',42101029,BSAS SUELDOS,0,0,1,38360841.52
b'2024-07',b'2024-10',42101029,BSAS SUELDOS,0,0,1,28755010.93
b'2024-09',b'2024-10',42101029,BSAS SUELDOS,0,0,1,29177247.9
b'2024-08',b'2024-10',42101029,BSAS SUELDOS,0,0,1,33792119.45
b'2024-11',b'2025-03',42101029,BSAS SUELDOS,0,0,1,52298576.26
b'2024-12',b'2025-03',42101029,BSAS SUELDOS,0,0,1,47837878.93
b'2024-10',b'2025-03',42101029,BSAS SUELDOS,0,0,1,32400882.71
b'2024-12',b'2025-04',42101029,BSAS SUELDOS,0,0,1,76387928.56
b'2024-12',b'2025-05',42101029,BSAS SUELDOS,1,10,1,457549009.17
b'2025-02',b'2025-06',42101029,BSAS SUELDOS,0,0,1,35735084.31
b'2025-03',b'2025-06',42101029,BSAS SUELDOS,0,0,1,31952047.18
b'2025-04',b'2025-06',42101029,BSAS SUELDOS,0,0,1,38826779.14
b'2025-01',b'2025-06',42101029,BSAS SUELDOS,0,0,1,34536612.77
b'2025-06',b'2025-07',42101029,BSAS SUELDOS,0,0,1,143074383.93
b'2025-05',b'2025-07',42101029,BSAS SUELDOS,0,0,1,44688838.55
b'2025-08',b'2025-09',42101029,BSAS SUELDOS,0,0,1,40195172.43
b'2025-07',b'2025-09',42101029,BSAS SUELDOS,0,0,1,43537788.49
b'2025-08',b'2026-01',42101029,BSAS SUELDOS,0,0,1,40195172.43
b'2025-09',b'2026-01',42101029,BSAS SUELDOS,0,0,1,43293151.23
b'2025-10',b'2026-01',42101029,BSAS SUELDOS,0,0,1,47224204.38
b'2025-11',b'2026-01',42101029,BSAS SUELDOS,0,0,2,105804890.58
b'2025-09',b'2026-01',42101029,BSAS SUELDOS,1,0,1,40195172.43
b'2025-12',b'2026-05',42101029,BSAS SUELDOS,0,0,2,147887198.02
b'2025-12',b'2026-05',42101029,BSAS SUELDOS,1,0,1,60582773.59
b'2025-12',b'2026-07',42101029,BSAS SUELDOS,1,10,1,696173377.42
b'2023-12',b'2024-01',42101040,BSAS OTROS GASTOS PERSONAL,0,8,2,34884.0
b'2024-01',b'2024-01',42101040,BSAS OTROS GASTOS PERSONAL,0,2,2,33120.0
b'2023-09',b'2024-01',42101040,BSAS OTROS GASTOS PERSONAL,0,2,1,205.14
b'2023-11',b'2024-01',42101040,BSAS OTROS GASTOS PERSONAL,0,2,1,36690.0
b'2024-01',b'2024-01',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,6180.26
b'2023-12',b'2024-01',42101040,BSAS OTROS GASTOS PERSONAL,1,8,1,16487.6
b'2023-12',b'2024-01',42101040,BSAS OTROS GASTOS PERSONAL,1,2,1,19950.0
b'2024-03',b'2024-03',42101040,BSAS OTROS GASTOS PERSONAL,0,2,1,30976.0
b'2023-12',b'2024-05',42101040,BSAS OTROS GASTOS PERSONAL,0,0,1,360116.19
b'2023-12',b'2024-05',42101040,BSAS OTROS GASTOS PERSONAL,1,10,1,1500479.05
b'2024-07',b'2024-07',42101040,BSAS OTROS GASTOS PERSONAL,0,2,1,3581.0
b'2024-07',b'2024-08',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,24235.54
b'2024-09',b'2024-09',42101040,BSAS OTROS GASTOS PERSONAL,0,8,2,625000.0
b'2024-10',b'2024-10',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,1535756.94
b'2024-11',b'2024-11',42101040,BSAS OTROS GASTOS PERSONAL,0,2,1,54294.0
b'2024-10',b'2024-11',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,89090.89
b'2024-11',b'2024-12',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,133756.0
b'2024-12',b'2024-12',42101040,BSAS OTROS GASTOS PERSONAL,0,8,4,903382.62
b'2024-11',b'2024-12',42101040,BSAS OTROS GASTOS PERSONAL,0,2,1,24969.0
b'2024-12',b'2024-12',42101040,BSAS OTROS GASTOS PERSONAL,1,8,1,283912.34
b'2024-11',b'2024-12',42101040,BSAS OTROS GASTOS PERSONAL,1,2,1,54294.0
b'2024-12',b'2025-01',42101040,BSAS OTROS GASTOS PERSONAL,0,8,3,202762.55
b'2024-12',b'2025-01',42101040,BSAS OTROS GASTOS PERSONAL,0,2,1,27620.0
b'2025-02',b'2025-02',42101040,BSAS OTROS GASTOS PERSONAL,0,2,1,27620.0
b'2024-12',b'2025-02',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,934376.3
b'2025-03',b'2025-03',42101040,BSAS OTROS GASTOS PERSONAL,0,2,2,81914.0
b'2025-03',b'2025-03',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,282231.41
b'2025-03',b'2025-04',42101040,BSAS OTROS GASTOS PERSONAL,0,2,3,3611.96
b'2024-12',b'2025-04',42101040,BSAS OTROS GASTOS PERSONAL,0,0,1,188706.3
b'2025-03',b'2025-04',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,2830168.0
b'2025-04',b'2025-04',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,24222.5
b'2025-03',b'2025-04',42101040,BSAS OTROS GASTOS PERSONAL,1,2,2,32921.48
b'2025-05',b'2025-05',42101040,BSAS OTROS GASTOS PERSONAL,0,8,2,505200.0
b'2024-12',b'2025-05',42101040,BSAS OTROS GASTOS PERSONAL,1,10,1,4479601.06
b'2025-06',b'2025-06',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,71900.83
b'2025-08',b'2025-09',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,2682.76
b'2025-09',b'2025-10',42101040,BSAS OTROS GASTOS PERSONAL,0,8,2,2173058.22
b'2025-10',b'2025-10',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,126960.0
b'2025-10',b'2025-11',42101040,BSAS OTROS GASTOS PERSONAL,0,8,10,199338.85
b'2025-12',b'2025-12',42101040,BSAS OTROS GASTOS PERSONAL,0,8,6,1821499.3
b'2025-11',b'2026-01',42101040,BSAS OTROS GASTOS PERSONAL,0,0,1,760328.79
b'2026-01',b'2026-01',42101040,BSAS OTROS GASTOS PERSONAL,0,2,3,306000.0
b'2026-01',b'2026-02',42101040,BSAS OTROS GASTOS PERSONAL,0,8,3,111570.25
b'2026-02',b'2026-02',42101040,BSAS OTROS GASTOS PERSONAL,0,8,2,84297.52
b'2026-01',b'2026-02',42101040,BSAS OTROS GASTOS PERSONAL,1,8,1,42148.76
b'2026-02',b'2026-03',42101040,BSAS OTROS GASTOS PERSONAL,0,8,4,107919.0
b'2026-03',b'2026-03',42101040,BSAS OTROS GASTOS PERSONAL,0,8,3,88347.11
b'2026-02',b'2026-03',42101040,BSAS OTROS GASTOS PERSONAL,1,8,1,19401.65
b'2026-04',b'2026-04',42101040,BSAS OTROS GASTOS PERSONAL,0,8,4,2519586.27
b'2026-05',b'2026-05',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,104000.0
b'2026-05',b'2026-05',42101040,BSAS OTROS GASTOS PERSONAL,0,2,2,143726.25
b'2025-12',b'2026-05',42101040,BSAS OTROS GASTOS PERSONAL,0,0,1,961932.31
b'2025-12',b'2026-05',42101040,BSAS OTROS GASTOS PERSONAL,1,0,1,760328.79
b'2026-06',b'2026-06',42101040,BSAS OTROS GASTOS PERSONAL,0,8,3,107924.8
b'2026-05',b'2026-06',42101040,BSAS OTROS GASTOS PERSONAL,0,8,1,50414.05
b'2025-12',b'2026-07',42101040,BSAS OTROS GASTOS PERSONAL,1,10,1,9079418.66
b'2023-12',b'2024-01',42102005,BSAS CARGAS SOCIALES,0,0,1,826820.59
b'2024-01',b'2024-02',42102005,BSAS CARGAS SOCIALES,0,0,1,840983.67
b'2024-02',b'2024-03',42102005,BSAS CARGAS SOCIALES,0,0,1,853758.22
b'2024-03',b'2024-04',42102005,BSAS CARGAS SOCIALES,0,0,1,919437.26
b'2023-12',b'2024-05',42102005,BSAS CARGAS SOCIALES,0,0,1,3765829.83
b'2023-12',b'2024-05',42102005,BSAS CARGAS SOCIALES,1,10,1,8551615.72
b'2024-08',b'2024-10',42102005,BSAS CARGAS SOCIALES,0,0,1,1715820.04
b'2024-04',b'2024-10',42102005,BSAS CARGAS SOCIALES,0,0,1,1154831.2
b'2024-05',b'2024-10',42102005,BSAS CARGAS SOCIALES,0,0,1,1182932.57
b'2024-06',b'2024-10',42102005,BSAS CARGAS SOCIALES,0,0,1,2300217.74
b'2024-07',b'2024-10',42102005,BSAS CARGAS SOCIALES,0,0,1,1894485.35
b'2024-09',b'2024-10',42102005,BSAS CARGAS SOCIALES,0,0,1,1726594.9
b'2024-10',b'2025-03',42102005,BSAS CARGAS SOCIALES,0,0,1,1882931.66
b'2024-11',b'2025-03',42102005,BSAS CARGAS SOCIALES,0,0,1,1497860.9
b'2024-12',b'2025-03',42102005,BSAS CARGAS SOCIALES,0,0,1,2802681.61
b'2024-12',b'2025-03',42102005,BSAS CARGAS SOCIALES,1,0,1,287161.55
b'2024-12',b'2025-04',42102005,BSAS CARGAS SOCIALES,0,0,1,3547363.97
b'2024-12',b'2025-05',42102005,BSAS CARGAS SOCIALES,1,10,1,22032737.54
b'2025-01',b'2025-06',42102005,BSAS CARGAS SOCIALES,0,0,1,2144181.45
b'2025-02',b'2025-06',42102005,BSAS CARGAS SOCIALES,0,0,1,1895120.93
b'2025-03',b'2025-06',42102005,BSAS CARGAS SOCIALES,0,0,1,1848813.12
b'2025-04',b'2025-06',42102005,BSAS CARGAS SOCIALES,0,0,1,2258902.99
b'2025-06',b'2025-07',42102005,BSAS CARGAS SOCIALES,0,0,1,2495704.88
b'2025-05',b'2025-07',42102005,BSAS CARGAS SOCIALES,0,0,1,2509915.43
b'2025-08',b'2025-09',42102005,BSAS CARGAS SOCIALES,0,0,1,2613068.89
b'2025-07',b'2025-09',42102005,BSAS CARGAS SOCIALES,0,0,1,4153633.35
b'2025-08',b'2026-01',42102005,BSAS CARGAS SOCIALES,0,0,1,2471655.07
b'2025-09',b'2026-01',42102005,BSAS CARGAS SOCIALES,0,0,1,2626293.25
b'2025-10',b'2026-01',42102005,BSAS CARGAS SOCIALES,0,0,1,2873305.09
b'2025-11',b'2026-01',42102005,BSAS CARGAS SOCIALES,0,0,2,9564798.87
b'2025-09',b'2026-01',42102005,BSAS CARGAS SOCIALES,1,0,1,2613068.89
b'2025-12',b'2026-05',42102005,BSAS CARGAS SOCIALES,0,0,2,8185776.13
b'2025-12',b'2026-05',42102005,BSAS CARGAS SOCIALES,1,0,1,3026330.99
b'2025-12',b'2026-07',42102005,BSAS CARGAS SOCIALES,1,10,1,40001769.57
b'2023-12',b'2024-01',42102023,BSAS SUELDOS,0,0,1,3265734.06
b'2024-01',b'2024-02',42102023,BSAS SUELDOS,0,0,1,3842152.06
b'2024-02',b'2024-03',42102023,BSAS SUELDOS,0,0,1,3607161.48
b'2024-03',b'2024-04',42102023,BSAS SUELDOS,0,0,1,3884399.09
b'2023-12',b'2024-05',42102023,BSAS SUELDOS,0,0,1,16070046.82
b'2023-12',b'2024-05',42102023,BSAS SUELDOS,1,10,1,36491712.8
b'2024-04',b'2024-10',42102023,BSAS SUELDOS,0,0,1,5040522.21
b'2024-05',b'2024-10',42102023,BSAS SUELDOS,0,0,1,5044003.95
b'2024-06',b'2024-10',42102023,BSAS SUELDOS,0,0,1,9093000.38
b'2024-07',b'2024-10',42102023,BSAS SUELDOS,0,0,1,7375619.53
b'2024-08',b'2024-10',42102023,BSAS SUELDOS,0,0,1,7242002.1
b'2024-09',b'2024-10',42102023,BSAS SUELDOS,0,0,1,7294718.93
b'2024-10',b'2025-03',42102023,BSAS SUELDOS,0,0,1,7879543.76
b'2024-11',b'2025-03',42102023,BSAS SUELDOS,0,0,1,7693727.51
b'2024-12',b'2025-03',42102023,BSAS SUELDOS,0,0,1,11228393.53
b'2024-12',b'2025-04',42102023,BSAS SUELDOS,0,0,1,15080763.87
b'2024-12',b'2025-05',42102023,BSAS SUELDOS,1,10,1,94306008.4
b'2025-01',b'2025-06',42102023,BSAS SUELDOS,0,0,1,9206174.59
b'2025-02',b'2025-06',42102023,BSAS SUELDOS,0,0,1,8768547.87
b'2025-03',b'2025-06',42102023,BSAS SUELDOS,0,0,1,8555359.17
b'2025-04',b'2025-06',42102023,BSAS SUELDOS,0,0,1,8834638.7
b'2025-06',b'2025-07',42102023,BSAS SUELDOS,0,0,1,13413532.38
b'2025-05',b'2025-07',42102023,BSAS SUELDOS,0,0,1,9272920.19
b'2025-07',b'2025-09',42102023,BSAS SUELDOS,0,0,1,16822069.17
b'2025-08',b'2025-09',42102023,BSAS SUELDOS,0,0,1,9389750.23
b'2025-08',b'2026-01',42102023,BSAS SUELDOS,0,0,1,9389750.23
b'2025-09',b'2026-01',42102023,BSAS SUELDOS,0,0,1,9916457.06
b'2025-10',b'2026-01',42102023,BSAS SUELDOS,0,0,1,10893642.44
b'2025-11',b'2026-01',42102023,BSAS SUELDOS,0,0,2,51350448.59
b'2025-09',b'2026-01',42102023,BSAS SUELDOS,1,0,1,9389750.23
b'2025-12',b'2026-05',42102023,BSAS SUELDOS,0,0,2,31955445.49
b'2025-12',b'2026-05',42102023,BSAS SUELDOS,1,0,1,12903171.05
b'2025-12',b'2026-07',42102023,BSAS SUELDOS,1,10,1,175475814.83
b'2024-01',b'2024-01',42102030,BSAS OTROS GASTOS PERSONAL,0,8,4,68561.98
b'2023-12',b'2024-01',42102030,BSAS OTROS GASTOS PERSONAL,0,8,3,37190.09
b'2024-01',b'2024-02',42102030,BSAS OTROS GASTOS PERSONAL,0,8,1,20165.29
b'2024-02',b'2024-02',42102030,BSAS OTROS GASTOS PERSONAL,0,8,1,33782.0
b'2024-02',b'2024-03',42102030,BSAS OTROS GASTOS PERSONAL,0,8,4,78281.0
b'2024-03',b'2024-03',42102030,BSAS OTROS GASTOS PERSONAL,0,8,3,72644.63
b'2024-03',b'2024-04',42102030,BSAS OTROS GASTOS PERSONAL,0,8,1,24214.88
b'2024-04',b'2024-04',42102030,BSAS OTROS GASTOS PERSONAL,0,8,1,28347.11
b'2023-12',b'2024-05',42102030,BSAS OTROS GASTOS PERSONAL,0,0,1,641388.86
b'2024-04',b'2024-05',42102030,BSAS OTROS GASTOS PERSONAL,0,8,3,73702.49
b'2023-12',b'2024-05',42102030,BSAS OTROS GASTOS PERSONAL,1,10,1,1222946.39
b'2024-05',b'2024-06',42102030,BSAS OTROS GASTOS PERSONAL,0,8,4,85041.34
b'2024-07',b'2024-07',42102030,BSAS OTROS GASTOS PERSONAL,0,8,1,49144.0
b'2024-06',b'2024-07',42102030,BSAS OTROS GASTOS PERSONAL,0,8,5,117520.66
b'2024-06',b'2024-07',42102030,BSAS OTROS GASTOS PERSONAL,1,8,1,26115.7
b'2024-07',b'2024-08',42102030,BSAS OTROS GASTOS PERSONAL,0,8,5,124049.58
b'2024-08',b'2024-09',42102030,BSAS OTROS GASTOS PERSONAL,0,8,4,111900.83
b'2024-09',b'2024-09',42102030,BSAS OTROS GASTOS PERSONAL,0,8,1,4043.31
b'2024-09',b'2024-10',42102030,BSAS OTROS GASTOS PERSONAL,0,8,4,125041.33
b'2024-11',b'2024-11',42102030,BSAS OTROS GASTOS PERSONAL,0,8,1,22066.12
b'2024-10',b'2024-11',42102030,BSAS OTROS GASTOS PERSONAL,0,8,5,161818.19
b'2024-11',b'2024-12',42102030,BSAS OTROS GASTOS PERSONAL,0,8,3,88264.47
b'2024-12',b'2024-12',42102030,BSAS OTROS GASTOS PERSONAL,0,8,1,170000.0
b'2024-12',b'2025-01',42102030,BSAS OTROS GASTOS PERSONAL,0,8,5,157851.24
b'2025-01',b'2025-01',42102030,BSAS OTROS GASTOS PERSONAL,0,8,3,92727.28
b'2025-01',b'2025-02',42102030,BSAS OTROS GASTOS PERSONAL,0,8,2,59008.27
b'2025-02',b'2025-02',42102030,BSAS OTROS GASTOS PERSONAL,0,8,2,84297.52
b'2025-02',b'2025-03',42102030,BSAS OTROS GASTOS PERSONAL,0,8,2,84297.52
b'2025-03',b'2025-03',42102030,BSAS OTROS GASTOS PERSONAL,0,8,4,143305.78
b'2025-04',b'2025-04',42102030,BSAS OTROS GASTOS PERSONAL,0,8,3,108429.75
b'2024-12',b'2025-04',42102030,BSAS OTROS GASTOS PERSONAL,0,0,1,318372.27
